SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Average_Coverage
Absidia_coerulea_NRRL_1313	1542	39068819	500	321947	10709	25336.46	200	58593	630	19496	41.15	96.6	77.7	18.9	0.5	2.9	758	11047030	10835255	41.6
Absidia_coerulea_NRRL_1314	2169	38883264	476	240852	9400	17926.82	290	40205	973	12035	41.17	96.3	77.6	18.7	0.5	3.2	758	8057766	7943322	30.6
Absidia_coerulea_NRRL_1502	1259	38826686	1001	284631	20454	30839.31	222	53357	704	16820	41.18	96.6	77.3	19.3	0.5	2.9	758	NA	9199633	35.5
Absidia_coerulea_NRRL_5926	1773	39058602	500	208191	9650	22029.67	228	55215	734	15100	41.15	96.3	77.4	18.9	0.5	3.2	758	6914776	6805263	26.1
Absidia_coerulea_NRRL_A-26290	1717	39056462	477	220385	9623	22746.92	217	54101	706	16771	41.16	96.2	77.6	18.6	0.8	3.0	758	8693124	8462472	32.5
Absidia_coerulea_NRRL_A-9483	3396	38462228	346	189171	7101	11325.74	528	21875	1738	6815	41.18	95.8	77.2	18.6	0.8	3.4	758	8498952	8312158	32.4
Absidia_corymbifera_Cohn_Saccardo_Trotter_NRRL_1334	378	29825175	1006	1100428	29977	78902.58	42	197953	153	56705	41.22	96.6	86.8	9.8	0.8	2.6	758	12986788	12729911	64.0
Absidia_corymbifera_NRRL_1318	1173	34442319	1008	162880	21373	29362.59	228	54253	604	20081	43.62	97.1	86.7	10.4	0.5	2.4	758	NA	39550795	172.1
Absidia_corymbifera_NRRL_1321	1162	34545050	1001	164814	22276	29728.96	223	54646	605	20595	43.62	97.1	86.4	10.7	0.7	2.2	758	NA	37890805	164.3
Absidia_corymbifera_NRRL_1331	1045	34291347	1001	199575	22538	32814.69	180	64358	511	24140	43.44	95.7	86.1	9.6	1.3	3.0	758	NA	12936957	56.6
Absidia_corymbifera_NRRL_1516	1096	34583444	1002	269059	19662	31554.24	174	63826	508	23221	43.44	95.9	86.3	9.6	1.2	2.9	758	NA	13884015	60.2
Absidia_corymbifera_NRRL_1561	1133	34431438	1001	208703	17104	30389.62	183	63220	517	22610	43.43	95.6	86.0	9.6	1.6	2.8	758	NA	9342899	40.6
Absidia_corymbifera_NRRL_1590	1030	34443929	1002	220188	22502	33440.71	175	66563	496	24388	43.44	95.7	86.1	9.6	1.3	3.0	758	NA	32758465	142.5
Absidia_corymbifera_NRRL_2798	615	30216736	500	1231843	3778	49132.90	41	194187	155	45494	41.22	96.5	86.5	10.0	0.5	3.0	758	7065038	7024165	34.9
Absidia_corymbifera_NRRL_2982	1084	34161325	451	199490	20146	31514.14	183	61340	533	21176	43.44	95.6	86.1	9.5	1.3	3.1	758	14950228	14406338	63.2
Absidia_corymbifera_NRRL_3177	6297	40089668	1000	321849	3778	6366.47	1030	10513	3896	2702	41.07	87.7	71.1	16.6	4.7	7.6	758	NA	30162837	112.8
Absidia_corymbifera_NRRL_6232	797	30773215	1002	1232715	1694	38611.31	38	219238	149	42177	40.74	96.8	86.5	10.3	0.4	2.8	758	NA	14917979	72.7
Absidia_corymbifera_NRRL_6247	815	30744764	1002	1232707	1731	37723.64	39	219215	152	41633	40.75	96.8	86.5	10.3	0.4	2.8	758	NA	9800511	47.8
Absidia_corymbifera_NRRL_6248	1040	34421553	1002	223507	22702	33097.65	184	62959	513	23523	43.44	95.8	85.9	9.9	1.3	2.9	758	NA	44450721	193.6
Absidia_corymbifera_NRRL_6250	1139	34162037	888	199505	19792	29993.01	190	59846	536	22450	43.44	95.9	86.3	9.6	1.3	2.8	758	NA	7246170	31.8
Absidia_corymbifera_NRRL_A-13288	62	19261624	16740	1232075	232054	310671.35	18	369904	50	181505	41.23	70.4	64.2	6.2	1.1	28.5	758	NA	8968166	69.8
Absidia_corymbifera_NRRL_A-13636	1071	34519502	1001	199525	21755	32231.09	182	62910	518	24121	43.44	95.6	86.0	9.6	1.5	2.9	758	NA	17490148	75.9
Absidia_corymbifera_NRRL_A-14689	323	29727091	1002	1207493	36939	92034.34	37	256348	130	61047	41.26	96.5	86.5	10.0	0.4	3.1	758	NA	13090356	66.0
Absidia_corymbifera_NRRL_A-14836	1053	34384806	1001	277426	21305	32654.14	176	65515	503	23755	43.43	95.5	86.0	9.5	1.5	3.0	758	NA	15202411	66.2
Absidia_corymbifera_NRRL_A-18864	1039	34600055	1003	216477	21457	33301.30	173	66696	499	23187	43.44	95.7	86.1	9.6	1.3	3.0	758	NA	22261794	96.4
Absidia_corymbifera_NRRL_A-23566	872	35370960	1007	339354	22613	40563.03	130	84069	399	28472	43.59	95.9	85.9	10.0	0.9	3.2	758	NA	16786400	71.1
Absidia_corymbifera_NRRL_A-25981	1106	34556706	1000	303390	20450	31244.76	182	61301	530	22131	43.43	95.8	86.3	9.5	1.3	2.9	758	NA	11761622	51.0
Absidia_corymbifera_NRRL_A-25984	378	30148522	1002	1323771	16519	79757.99	34	232078	127	60728	41.22	96.8	86.5	10.3	0.4	2.8	758	NA	19888548	98.9
Absidia_cuneospora_NRRL_2655	495	27619246	1011	355547	31041	55796.46	73	124969	227	37616	39.02	95.2	89.4	5.8	1.7	3.1	758	NA	19074756	103.6
Absidia_cuneospora_RSA_623+	590	27530919	988	458662	18446	46662.57	70	118453	240	30635	39.03	95.5	89.6	5.9	1.6	2.9	758	4907338	4737364	25.8
Absidia_cuneospora_RSA_624-	576	27621425	1000	411564	22862	47953.86	79	116207	246	33148	39.03	95.5	89.8	5.7	1.5	3.0	758	5937812	5627941	30.6
Absidia_cylindrospora_NRRL_1341	1498	38430622	496	303006	3436	25654.62	149	79624	478	22539	39.87	96.5	74.3	22.2	0.7	2.8	758	8604976	8392749	32.7
Absidia_cylindrospora_NRRL_1342	1704	37610889	975	169386	13021	22072.12	270	43271	874	12238	39.92	95.9	74.5	21.4	1.2	2.9	758	NA	2915966	11.6
Absidia_cylindrospora_NRRL_1343	2283	40700125	499	285203	2808	17827.47	201	64417	702	13591	39.99	96.3	73.9	22.4	0.7	3.0	758	22785110	21259363	78.3
Absidia_cylindrospora_NRRL_1345	1536	38442431	500	360185	3581	25027.62	149	79313	498	20829	39.87	96.3	74.7	21.6	0.5	3.2	758	7922590	7800155	30.4
Absidia_cylindrospora_NRRL_13891	1931	38978967	500	269590	2621	20185.90	190	69291	596	17990	39.96	97.4	74.8	22.6	0.7	1.9	758	8967530	8684743	33.4
Absidia_cylindrospora_NRRL_1560	1107	38308647	1000	307949	17461	34605.82	159	73880	506	22099	39.91	96.4	74.0	22.4	0.5	3.1	758	NA	15160835	59.3
Absidia_cylindrospora_NRRL_3069	2231	39939824	500	332512	3367	17902.21	223	54218	762	13843	39.49	96.7	74.0	22.7	0.8	2.5	758	11259788	10760701	40.4
Absidia_cylindrospora_var._cylindrospora_NRRL_2796	2513	41915259	500	215351	6368	16679.37	291	43112	1039	10607	39.05	96.2	71.4	24.8	1.1	2.7	758	10949224	10487652	37.5
Absidia_cylindrospora_var._nigra_NRRL_3031	1505	40014768	500	426361	7648	26587.89	168	75311	554	18959	38.69	96.2	71.4	24.8	1.5	2.3	758	10581358	9822334	36.8
Absidia_cylindrospora_var._nigra_NRRL_3032	1264	39734731	1002	337477	16896	31435.70	191	64429	628	17028	38.73	95.2	71.1	24.1	1.2	3.6	758	NA	11310034	42.7
Absidia_cylindrospora_var._nigra_NRRL_3060	1300	39729401	1001	320261	15248	30561.08	186	68050	624	16739	38.71	95.7	71.2	24.5	1.2	3.1	758	NA	11065786	41.7
Absidia_dubia_NRRL_1322	2893	40140808	500	112883	9675	13875.15	473	26941	1423	9949	44.43	96.0	76.9	19.1	1.1	2.9	758	16842184	15811815	59.1
Absidia_glauca_NRRL_1324	2007	38324411	1004	140950	14856	19095.37	438	28681	1294	10518	44.59	95.7	76.4	19.3	1.5	2.8	758	NA	8172964	32.0
Absidia_glauca_NRRL_1327	2901	40121400	500	157125	9736	13830.20	479	26667	1447	9764	44.42	96.0	76.5	19.5	1.1	2.9	758	7836096	7386161	27.6
Absidia_glauca_NRRL_1328	2628	39021751	990	127653	10663	14848.46	465	26286	1415	9428	44.07	94.4	75.7	18.7	1.7	3.9	758	NA	6509601	25.0
Absidia_glauca_NRRL_2460	1742	38360083	1011	133579	16925	22020.71	385	32421	1142	11866	44.59	95.5	76.4	19.1	1.7	2.8	758	NA	15005770	58.6
Absidia_glauca_NRRL_3010	2219	38181810	743	122518	13440	17206.76	491	24504	1444	9708	44.61	94.6	75.7	18.9	1.7	3.7	758	NA	5359860	21.0
Absidia_glauca_NRRL_A-25980	2319	39981382	840	178487	10727	17240.79	376	33008	1263	9408	39.05	96.0	76.1	19.9	1.1	2.9	758	NA	4849185	18.2
Absidia_hyalospora_NRRL_1330	1168	34109233	1002	169847	20754	29203.11	203	55247	580	21034	43.43	95.6	86.1	9.5	1.6	2.8	758	13150968	12590865	55.3
Absidia_inflata_NRRL_6591	6495	47556726	210	95519	2807	7322.05	884	17377	2842	4122	35.79	95.2	74.9	20.3	2.1	2.7	758	23144786	21903690	69.0
Absidia_macrospora_NRRL_3768	1078	34165277	982	240674	21980	31693.21	189	58846	538	22131	43.44	95.7	86.1	9.6	1.3	3.0	758	NA	11490497	50.4
Absidia_macrospora_NRRL_5839	2633	40830476	500	171764	5703	15507.21	312	39814	1060	10407	38.99	95.3	74.1	21.2	1.5	3.2	758	8406176	7906974	29.0
Absidia_pseudocylindrospora_NRRL_2984	1333	40866300	1000	357968	17059	30657.39	197	60896	674	16612	38.26	95.1	71.9	23.2	1.6	3.3	758	7817186	7511864	27.5
Absidia_ramosa_NRRL_A-13095	1053	34421695	1001	277413	20757	32689.17	176	65609	498	24160	43.44	95.9	86.1	9.8	1.3	2.8	758	NA	25333947	110.3
Absidia_ramosa_NRRL_A-16036	9021	39155489	762	95184	2950	4340.48	1860	6317	6221	1941	41.11	75.3	62.5	12.8	11.3	13.4	758	NA	13448842	51.5
Absidia_ramosa_NRRL_A-16673	7915	40137904	978	86735	3390	5071.12	1547	7820	5272	2241	41.12	81.9	66.2	15.7	6.9	11.2	758	NA	21363310	79.8
Absidia_ramosa_NRRL_A-25726	816	30530371	1002	1262307	1534	37414.67	38	242143	135	51078	40.67	96.5	86.5	10.0	0.4	3.1	758	NA	15708426	77.1
Absidia_repens_NRRL_1337	8392	69896022	938	138566	3122	8328.89	934	21077	4329	2974	32.89	96.3	76.4	19.9	0.9	2.8	758	NA	13742161	29.5
Absidia_repens_NRRL_1338	2185	45632983	516	239590	5409	20884.66	232	58819	818	13635	37.90	94.8	68.7	26.1	1.7	3.5	758	NA	12219972	40.2
Absidia_sp._NRRL_3163	3248	48395366	999	187572	4312	14900.05	336	42053	1347	6385	33.69	97.3	90.4	6.9	0.8	1.9	758	NA	12135556	37.6
Absidia_sp._NRRL_A-14007	3103	41251514	1000	305278	2187	13294.07	179	67473	950	5179	43.72	96.1	89.2	6.9	0.9	3.0	758	NA	12095273	43.9
Absidia_sp._NRRL_A-16789	1583	32135838	934	228190	10432	20300.59	243	43968	723	13810	39.69	98.0	87.3	10.7	0.4	1.6	758	12797838	11778117	55.0
Absidia_sp._NRRL_A-17469	463	30081495	1007	1090712	15949	64970.83	43	193652	163	45482	41.22	97.0	87.1	9.9	0.4	2.6	758	NA	4852904	24.2
Absidia_sp._NRRL_A-19777	388	30161341	1005	1232728	18196	77735.41	37	219231	135	50320	41.22	96.8	86.8	10.0	0.4	2.8	758	NA	16196151	80.5
Absidia_spinosa_NRRL_A-13651	2962	42571458	500	234968	4582	14372.54	343	37259	1164	9806	38.19	96.2	71.9	24.3	1.3	2.5	758	10391328	9988489	35.2
Absidia_spinosa_var._azygospora_NRRL_2841	2544	39184623	496	270777	1880	15402.76	174	63840	686	11298	39.88	96.3	73.5	22.8	1.1	2.6	758	12244174	12034218	46.0
Absidia_spinosa_var._biappendiculata_NRRL_3033	1363	41182928	993	334436	14871	30214.91	190	67436	638	17419	38.05	96.4	72.4	24.0	0.7	2.9	758	NA	15803489	57.5
Absidia_zychae_NRRL_A-23515	343	20054610	493	529279	14688	58468.25	37	160237	126	49317	44.93	93.3	90.0	3.3	1.7	5.0	758	7909786	7830310	58.5
Actinomucor_elegans_NRRL_13011	657	33551960	1000	626033	23960	51068.43	80	119164	280	34124	36.42	97.8	88.0	9.8	0.5	1.7	758	NA	14744735	65.8
Actinomucor_elegans_NRRL_1403	1684	35433882	1000	525198	1789	21041.50	78	142438	287	23662	35.35	97.4	87.2	10.2	0.5	2.1	758	NA	19376331	81.9
Actinomucor_elegans_NRRL_1706	2315	34012553	500	231274	4018	14692.25	263	39230	871	10430	36.71	97.3	87.5	9.8	0.9	1.8	758	14343564	6654682	29.3
Actinomucor_elegans_NRRL_3104	587	33491373	1008	739204	20488	57055.15	69	141885	227	41141	36.41	97.4	87.6	9.8	0.5	2.1	758	NA	12556258	56.2
Actinomucor_elegans_NRRL_6572	596	33425215	1008	567336	17871	56082.58	70	148653	225	40511	36.42	97.8	88.0	9.8	0.5	1.7	758	NA	12983607	58.2
Actinomucor_sp._NRRL_A-23671	1661	32558114	1000	170494	9986	19601.51	240	43257	756	12655	39.72	97.9	87.3	10.6	0.5	1.6	758	14102018	12850059	59.2
Allomyces_arbuscula_Burma_1F	363	26482411	1017	1040497	14956	72954.30	26	317448	111	47545	61.79	79.8	77.0	2.8	4.5	15.7	758	NA	8369502	47.2
Allomyces_javanicus_California_12	5006	39819995	985	535539	4262	7954.45	694	14092	2942	3300	62.17	73.9	59.5	14.4	8.3	17.8	758	NA	11588356	43.6
Alternaria_sp._NRRL_15289	1552	40151565	959	235613	18264	25870.85	285	43974	871	14355	41.33	96.3	77.3	19.0	1.2	2.5	758	NA	14175285	52.9
Amylomyces_rouxii_NRRL-A-25885	2692	31484446	1002	98070	5464	11695.56	387	24885	1381	5179	35.56	95.6	81.1	14.5	1.2	3.2	758	NA	7917654	37.7
Amylomyces_rouxii_NRRL-A-26221	150	568939	1001	19208	2786	3792.93	35	5427	108	1664	39.34	0.0	0.0	0.0	0.1	99.9	758	NA	1495399	394.1
Amylomyces_rouxii_NRRL_3160	4836	37081541	990	129771	2699	7667.81	584	18285	2513	2504	34.45	92.5	72.7	19.8	2.9	4.6	758	NA	4602602	18.6
Amylomyces_rouxii_NRRL_5192	2613	35680791	976	175059	5883	13655.11	344	30306	1251	6582	35.16	94.2	72.4	21.8	1.6	4.2	758	NA	7411635	31.1
Apophysomyces_ossiformis_NRRL_A-21654	1141	34079890	500	588879	2985	29868.44	80	125890	296	27577	41.88	96.5	88.1	8.4	0.9	2.6	758	10858506	10730342	47.2
Apophysomyces_sp._BC1015	3418	37625439	500	224769	2131	11008.03	291	37420	1218	4934	42.95	95.9	86.1	9.8	0.8	3.3	758	12519514	12139682	32.2
Apophysomyces_sp._BC1021	2963	35139595	481	243836	1974	11859.47	271	38138	1003	6742	41.60	95.8	86.3	9.5	0.8	3.4	758	14720740	14317183	40.7
Apophysomyces_sp._BC1034	3089	37767649	500	213726	1996	12226.50	270	40376	1028	6869	43.07	95.7	85.8	9.9	0.8	3.5	758	14747150	14316603	37.9
Backusella_circina_NRRL_2446	1725	46173483	280	304786	4740	26767.24	169	85584	577	21054	34.26	97.3	77.6	19.7	0.4	2.3	758	7930678	7623316	24.8
Backusella_circina_NRRL_3293	2067	47322943	1002	391658	3144	22894.51	197	74640	685	17581	33.83	97.2	77.7	19.5	0.7	2.1	758	NA	24429559	77.4
Backusella_circina_NRRL_6007	1186	46190330	1004	567523	17434	38946.32	147	91133	522	23469	34.65	96.3	77.3	19.0	1.3	2.4	758	NA	11698689	38.0
Backusella_circina_NRRL_A-17781	2333	47117597	492	339977	1607	20196.14	172	82178	603	19709	33.92	97.6	77.8	19.8	0.5	1.9	758	9828444	9452722	30.1
Backusella_ctenidia_NRRL_6239	1659	35219504	1004	280195	4421	21229.36	149	68587	579	11862	36.21	97.1	79.6	17.5	0.5	2.4	758	NA	14597497	62.1
Backusella_lamprospora_NRRL_1401	2643	47385077	493	355811	2636	17928.52	247	56728	846	14318	34.90	97.3	78.2	19.1	0.4	2.3	758	10052774	9602124	30.4
Backusella_lamprospora_NRRL_3103	2922	49754676	995	357437	2502	17027.61	233	63398	899	10212	35.19	96.4	76.1	20.3	1.1	2.5	758	NA	13598654	41.0
Backusella_lamprospora_NRRL_3618	2003	46666238	993	195246	11879	23298.17	289	50361	935	14018	34.93	97.1	78.0	19.1	0.5	2.4	758	NA	9002441	28.9
Backusella_lamprospora_NRRL_3619	1926	46818886	1002	239420	11579	24308.87	259	54662	869	15043	34.93	97.5	78.8	18.7	0.4	2.1	758	NA	11931808	38.2
Backusella_lamprospora_NRRL_6044+	1353	46249429	1004	378967	14725	34182.87	178	80498	585	21200	35.49	96.8	78.2	18.6	1.1	2.1	758	6917642	6247989	20.3
Basidiobolus_ranarum_AGB5	13758	64998496	760	92976	2351	4724.41	1881	8672	8841	1747	37.94	91.7	68.1	23.6	4.0	4.3	758	NA	17066076	39.5
Benjaminiella_youngii_IMI_325629	5625	33985948	490	160601	1392	6041.95	357	28350	2180	1839	39.73	96.8	88.9	7.9	0.4	2.8	758	11534428	10269807	30.2
Blakeslea_trispora_NRRL_2456	3322	31794077	500	200783	1515	9570.76	203	47830	957	4325	37.39	96.5	90.0	6.5	0.7	2.8	758	9557870	9187093	43.3
Blyttiomyces_sp._JEL0837	6580	46443146	975	302252	3978	7058.23	1047	12527	3912	2954	41.24	73.2	72.0	1.2	10.3	16.5	758	NA	462923	1.5
Chaetocladium_brefeldii_NRRL_1350	6867	32013013	498	62510	1512	4661.86	776	12734	3284	1641	37.17	95.2	87.3	7.9	1.2	3.6	758	17025460	6353984	19.8
Chaetocladium_brefeldii_NRRL_2508	3858	33311749	1000	96630	3003	8634.46	500	22183	1907	3059	37.02	96.9	88.5	8.4	0.5	2.6	758	NA	6272240	28.2
Chaetocladium_brefeldii_RSA_1136-	947	29533875	1002	272927	16970	31186.77	143	64597	461	18231	26.51	96.2	91.6	4.6	1.3	2.5	758	6720074	6513237	33.1
Chaetocladium_brefeldii_Tieghem_Le_Monnier_NRRL_2509	3819	34119364	921	73991	3348	8934.11	515	22135	1939	3273	36.88	97.2	88.8	8.4	0.7	2.1	758	10709636	19672986	86.4
Chaetocladium_jonesii_RSA_772	246	1108532	794	24522	2981	4506.23	52	6799	167	1939	37.89	0.1	0.1	0.0	0.1	99.8	758	NA	1369795	184.4
Chaetocladium_sp._NRRL_2844	949	34080685	502	412381	5381	35912.21	92	126775	307	29312	46.37	95.8	87.5	8.3	0.9	3.3	758	NA	16904816	74.3
Chaetocladium_sp._NRRL_3029	1143	34567165	741	322302	9665	30242.49	141	74610	453	20526	46.06	96.1	86.5	9.6	0.7	3.2	758	NA	18052986	78.2
Choanephora_circinans_NRRL_2546	1930	31054778	993	279154	3325	16090.56	170	54207	669	7053	38.26	96.9	90.6	6.3	0.8	2.3	758	6931302	6087012	29.4
Chytriomyces_hyalinus_ARG085	2615	35982214	881	524367	3668	13759.93	149	58136	1059	5039	47.83	76.5	66.1	10.4	6.9	16.6	758	NA	1615575	6.7
Chytriomyces_hyalinus_ARG121	2059	35798036	690	456354	4581	17386.13	141	63992	801	6926	47.83	75.6	62.8	12.8	7.8	16.6	758	NA	7561119	31.6
Chytriomyces_hyalinus_JEL0117	11146	27018512	959	132074	1728	2424.05	2617	2587	8718	1244	44.61	36.3	35.2	1.1	22.4	41.3	758	NA	4782370	26.5
Chytriomyces_hyalinus_JEL0176	3197	34421782	1002	278913	3240	10766.90	210	37008	1444	3770	47.87	73.8	64.2	9.6	9.0	17.2	758	NA	1157124	5.0
Chytriomyces_hyalinus_JEL0345	3099	30618439	1000	478138	2172	9880.10	118	64374	1217	2764	47.58	71.0	64.0	7.0	7.9	21.1	758	NA	5760142	28.1
Circinella_angarensis_NRRL_1594	4396	46885989	482	279699	1539	10665.60	249	53003	1154	5154	32.51	96.7	90.6	6.1	0.9	2.4	758	7875700	7607567	24.3
Circinella_angarensis_NRRL_2410	1500	42475541	500	524282	2599	28317.03	106	121343	385	26482	32.44	96.4	90.6	5.8	0.9	2.7	758	15973168	13981267	49.3
Circinella_angarensis_NRRL_2628	1178	41996075	1004	294354	12544	35650.32	142	93212	478	21439	32.46	96.2	90.1	6.1	1.3	2.5	758	NA	30091045	107.4
Circinella_angarensis_RSA_198+	1031	41839348	1003	553159	14697	40581.33	122	102057	416	26734	32.46	96.4	90.1	6.3	0.8	2.8	758	9764272	9213389	33.0
Circinella_angarensis_RSA_618-	1241	41810183	1001	452947	10035	33690.72	134	94425	479	21131	32.46	95.9	90.0	5.9	1.2	2.9	758	8323186	7249317	26.0
Circinella_chinensis_CBS_150.53	2000	34670579	375	254627	2829	17335.29	197	53186	661	13451	44.14	96.4	90.6	5.8	0.7	2.9	758	14732200	13829357	39.8
Circinella_chinensis_NRRL_2415	1016	42825393	500	1363722	1818	42150.98	51	258781	188	53440	33.75	97.3	90.8	6.5	0.7	2.0	758	6008018	5685030	19.9
Circinella_minor_CBS_143.56	11717	85084731	500	119179	3042	7261.65	1434	17045	5465	3579	32.12	90.9	33.1	57.8	5.3	3.8	758	16491782	15574841	18.3
Circinella_minor_NRRL_1365	3967	44765467	500	185274	2932	11284.46	371	34755	1474	5731	31.69	94.2	88.3	5.9	2.4	3.4	758	7378910	7155559	23.8
Circinella_mucoroides_NRRL_1354	706	42725932	500	1124373	3924	60518.32	50	268502	175	59195	33.63	97.3	90.8	6.5	0.7	2.0	758	20059126	19153596	67.2
Circinella_muscae_CBS_107.13T	1794	41619114	1000	264651	11102	23199.06	241	51050	841	12616	32.73	96.6	90.8	5.8	0.9	2.5	758	4710552	4417610	15.9
Circinella_muscae_NRRL_1352	1604	42149080	481	452775	2964	26277.48	131	99143	456	22920	32.73	96.2	90.1	6.1	1.2	2.6	758	8285304	7953747	28.3
Circinella_muscae_NRRL_1355	11618	82612988	500	98142	3579	7110.78	1663	15113	5776	3628	33.16	85.3	32.8	52.5	7.3	7.4	758	6883950	6697598	12.2
Circinella_muscae_NRRL_1356	1338	42250089	501	426144	2718	31577.05	101	129004	351	30120	32.71	96.8	90.6	6.2	0.7	2.5	758	12312116	11755510	41.7
Circinella_muscae_NRRL_1357	5869	46130463	349	167816	2113	7860.02	524	24946	2324	3434	32.61	91.3	85.6	5.7	3.0	5.7	758	9055528	8716310	28.3
Circinella_muscae_NRRL_1360	5625	33980773	490	160605	1392	6041.03	357	28304	2180	1837	39.73	96.9	88.7	8.2	0.4	2.7	758	6412430	177214	0.8
Circinella_muscae_NRRL_1362	6939	83650970	500	143433	4698	12055.19	877	29658	2928	7473	33.17	92.9	27.6	65.3	2.4	4.7	758	8910940	8648537	15.5
Circinella_muscae_NRRL_1363	7837	83245122	489	147852	4446	10622.06	1013	25607	3424	6247	33.19	91.6	31.4	60.2	3.4	5.0	758	8001710	7805129	14.1
Circinella_muscae_NRRL_1364	1436	42576904	456	522640	2510	29649.65	109	123519	375	28465	32.71	96.9	90.8	6.1	0.8	2.3	758	8329076	7904817	27.8
Circinella_muscae_NRRL_1367	1732	42168344	500	457311	3664	24346.62	146	87780	532	18870	32.74	96.3	90.2	6.1	0.7	3.0	758	9290818	8887822	31.6
Circinella_muscae_NRRL_2403	9733	83119366	500	97226	4112	8539.95	1328	18915	4634	4580	33.17	88.0	36.5	51.5	6.5	5.5	758	7602904	7325702	13.2
Circinella_naumovii_NRRL_5846	1947	33659448	1001	131673	11886	17287.85	352	30804	1065	9794	42.66	97.8	87.5	10.3	0.7	1.5	758	NA	14182845	63.2
Circinella_rigida_NRRL_2341	2898	33507585	470	310890	1492	11562.31	192	50321	758	7529	37.45	97.5	88.9	8.6	0.5	2.0	758	19512258	18152078	81.2
Circinella_simplex_CBS_142.35	4321	46135627	500	212724	1436	10677.07	365	36336	1360	7662	42.85	97.2	86.9	10.3	0.7	2.1	758	10767732	9217360	20.0
Circinella_simplex_van_Tieghem_NRRL_2407	1547	37119569	1000	315011	1708	23994.55	127	89801	419	24951	35.21	97.7	87.9	9.8	0.5	1.8	758	14987162	14112399	57.0
Circinella_tenella_NRRL_A-23557	582	31895459	1001	776127	16986	54803.19	62	167455	218	37428	52.55	95.3	85.4	9.9	0.4	4.3	758	15064492	14443955	67.8
Circinella_umbellata_NRRL_1366	5593	45830108	481	138040	2392	8194.19	557	23866	2276	3796	32.59	95.4	89.6	5.8	0.8	3.8	758	6619282	6465022	21.1
Circinella_umbellata_NRRL_2417	1869	44091379	926	447933	6603	23590.89	195	68886	734	12569	31.74	95.9	89.8	6.1	1.3	2.8	758	NA	16700755	56.7
Circinella_umbellata_RSA_505+	4850	43829280	1000	129934	3731	9036.96	559	21104	2571	3399	32.47	91.8	87.1	4.7	3.3	4.9	758	4320382	3998569	13.7
Circinomucor_circinelloides_NRRL_22899	1776	31899835	810	147488	10000	17961.62	274	37730	831	12176	39.71	97.9	87.1	10.8	0.5	1.6	758	4962100	4141016	19.5
Coemansia_aciculifera_BCRC_34181	4649	12797631	991	159975	1721	2752.77	867	3288	3502	1263	52.26	53.6	53.2	0.4	17.3	29.1	758	NA	5533229	64.8
Coemansia_aciculifera_CBS_109363	3816	12978014	1000	418941	1789	3400.95	482	4641	2685	1349	52.26	57.3	57.0	0.3	14.4	28.3	758	NA	15098094	174.2
Coemansia_aciculifera_CBS_516.66	1806	17466434	1000	296309	3227	9671.34	173	25371	829	3792	50.44	85.5	84.3	1.2	5.1	9.4	758	NA	32525076	279.2
